,Unnamed: 0,time,longitude,latitude
2052280,2052280,2014-01-23 10:12:00,-73.99053999999998,40.731115
12997197,12997197,2014-01-25 23:35:10,-74.013953,40.716821
2371066,2371066,2014-01-24 14:07:00,-73.988147,40.749952
209052,209052,2014-01-11 11:51:02,-73.983976,40.743437
7617069,7617069,2014-01-30 11:50:08,-73.96866699999998,40.764577
6690475,6690475,2014-01-27 19:10:06,-73.948136,40.801537
3624434,3624434,2014-01-29 19:02:00,-73.99292699999998,40.73493
5884897,5884897,2014-01-04 16:59:04,-73.984824,40.76834
2715347,2715347,2014-01-25 20:46:00,-73.998748,40.739127
4708434,4708434,2014-01-03 14:45:00,-73.97453,40.75663
3355725,3355725,2014-01-28 16:59:00,-73.95506,40.607055
13143788,13143788,2014-01-20 11:01:39,-73.97779,40.76355
9063156,9063156,2014-01-10 23:04:00,-73.966335,40.712182
12660679,12660679,2014-01-23 20:30:50,-73.98778799999998,40.732536
4586280,4586280,2014-01-02 18:52:00,-73.973607,40.748975
2780632,2780632,2014-01-26 00:34:00,-73.957267,40.722185
2644969,2644969,2014-01-25 16:00:00,-73.94638999999998,40.772567
6228514,6228514,2014-01-07 18:56:11,-73.96829099999998,40.799927
6660501,6660501,2014-01-27 09:55:39,-73.974289,40.760672
12043837,12043837,2014-01-15 03:36:50,-73.99280799999998,40.719864
1105051,1105051,2014-01-12 17:43:17,-73.934398,40.753483
1098316,1098316,2014-01-12 11:59:48,-73.980254,40.755024
4963956,4963956,2014-01-04 20:54:00,-74.016867,40.70943
11153013,11153013,2014-01-19 16:18:00,-73.948835,40.778202
3016119,3016119,2014-01-27 07:46:00,-73.961588,40.771077
4297098,4297098,2014-01-01 04:44:00,-73.96317999999998,40.647007
7218179,7218179,2014-01-31 13:32:43,-74.011449,40.702612
1959777,1959777,2014-01-24 23:27:17,-73.839405,40.717987
752119,752119,2014-01-09 13:13:01,-73.97846599999998,40.741135
5181475,5181475,2014-01-05 10:48:00,-73.994657,40.735065
8353812,8353812,2014-01-09 07:33:00,-73.986192,40.761537
5541357,5541357,2014-01-05 15:28:37,-73.94562399999998,40.80748
6976200,6976200,2014-01-29 23:51:50,-74.003527,40.717503
8337540,8337540,2014-01-08 22:35:00,-73.99025,40.714542
7221645,7221645,2014-01-31 15:12:03,-74.00000799999998,40.747582
13002526,13002526,2014-01-26 10:22:53,-73.98124099999998,40.767996
3348566,3348566,2014-01-28 12:26:00,-73.992847,40.756025
2577765,2577765,2014-01-25 09:05:00,-73.979228,40.76607
12100087,12100087,2014-01-16 18:57:21,-73.952267,40.76619
11101137,11101137,2014-01-19 07:55:00,-73.86485,40.770372
9189625,9189625,2014-01-11 12:54:00,-73.96676999999998,40.789147
3146834,3146834,2014-01-27 17:14:00,-73.964718,40.76008
4405830,4405830,2014-01-01 15:23:00,-74.008622,40.719322
13556689,13556689,2014-01-25 17:05:12,-73.977316,40.75952
5792735,5792735,2014-01-03 14:30:03,-73.985718,40.758803
4244857,4244857,2014-01-01 01:47:00,-73.966007,40.752942
12271281,12271281,2014-01-19 11:57:35,-73.985573,40.743904
4545738,4545738,2014-01-02 10:06:00,-73.999047,40.73908
1464124,1464124,2014-01-17 09:06:26,-74.00134199999998,40.724351
6967254,6967254,2014-01-29 21:17:14,-73.990059,40.738174
3661619,3661619,2014-01-29 21:49:00,-73.924248,40.753907
4534399,4534399,2014-01-02 12:08:00,-73.982422,40.762582
10638751,10638751,2014-01-17 13:32:00,-73.98904,40.7433
2357847,2357847,2014-01-24 14:10:00,-73.994382,40.736612
13181395,13181395,2014-01-20 04:28:37,-73.89544499999998,40.731338
4670952,4670952,2014-01-03 13:04:00,-73.966465,40.761637
8928321,8928321,2014-01-10 10:13:00,-73.97946,40.743827
8293677,8293677,2014-01-08 20:38:00,0.0,0.0
3753000,3753000,2014-01-30 08:11:00,-74.00632799999998,40.743887
5639361,5639361,2014-01-01 20:14:31,-73.86194999999998,40.831407
10065239,10065239,2014-01-15 09:58:00,-73.97322699999998,40.758237
12094564,12094564,2014-01-16 00:51:46,-73.985498,40.735036
2240832,2240832,2014-01-24 02:24:00,-73.95037499999998,40.786527
7051240,7051240,2014-01-30 08:01:56,-73.969189,40.762166
8022742,8022742,2014-01-07 18:45:00,-74.00233299999998,40.74519
8396103,8396103,2014-01-09 08:52:00,-73.96338299999998,40.765117
10144665,10144665,2014-01-15 16:13:00,-73.975052,40.753777
10752674,10752674,2014-01-17 23:25:00,-73.929592,40.774147
5971512,5971512,2014-01-05 11:52:27,-73.981966,40.76842
6618016,6618016,2014-01-02 19:42:21,-73.980571,40.758836
579586,579586,2014-01-07 12:33:05,-73.995205,40.750113
12629444,12629444,2014-01-23 14:38:35,-73.991141,40.733402
5335109,5335109,2014-01-03 03:56:10,-74.00868699999998,40.728945
4167212,4167212,2014-01-31 18:35:00,-73.98891,40.75156
3079883,3079883,2014-01-27 12:43:00,-73.958825,40.764917
9493145,9493145,2014-01-12 17:15:00,-73.987645,40.719742
10192617,10192617,2014-01-15 20:26:00,-73.975882,40.781452
2372080,2372080,2014-01-24 16:12:00,-73.982297,40.777702
13105494,13105494,2014-01-26 19:42:35,-73.980928,40.743683
2398219,2398219,2014-01-24 19:15:00,-73.971737,40.756567
3544423,3544423,2014-01-29 12:55:00,-73.987227,40.74057
8776912,8776912,2014-01-22 17:23:00,-73.949675,40.771102
11674503,11674503,2014-01-15 10:28:19,-73.988578,40.74974
2969892,2969892,2014-01-26 22:18:00,-73.996745,40.720745
12678914,12678914,2014-01-23 22:08:23,-73.96248699999998,40.76472
1203888,1203888,2014-01-13 20:20:44,-73.99249399999998,40.758567
982167,982167,2014-01-11 17:18:06,-73.97631,40.757816
5237694,5237694,2014-01-06 00:43:00,-73.94154,40.851002
1827965,1827965,2014-01-20 19:25:00,-73.978942,40.752697
11708941,11708941,2014-01-16 00:22:12,-73.96012399999998,40.764526
10671976,10671976,2014-01-17 15:05:00,-74.004383,40.742387
8504662,8504662,2014-01-09 15:20:00,-73.87323,40.77445
12478949,12478949,2014-01-21 21:49:11,-73.98545799999998,40.763392
10614269,10614269,2014-01-17 15:15:00,-73.954335,40.783922
3104333,3104333,2014-01-27 15:26:00,-73.948102,40.772707
12223339,12223339,2014-01-18 13:34:58,0.0,0.0
39942,39942,2014-01-10 09:15:24,-74.00674999999998,40.747969
6448461,6448461,2014-01-09 16:13:59,-73.991178,40.732849
164348,164348,2014-01-10 20:44:39,-73.957149,40.76904
7962858,7962858,2014-01-07 10:50:00,-73.97574,40.757412
7500403,7500403,2014-01-29 14:53:07,-73.870968,40.773582
4686476,4686476,2014-01-03 13:23:00,-73.96416999999998,40.756177
2824507,2824507,2014-01-26 10:49:00,-73.98919499999998,40.763115
5339354,5339354,2014-01-03 19:52:00,-74.001333,40.730983
10253388,10253388,2014-01-15 23:11:00,-73.95565499999998,40.77461
2870408,2870408,2014-01-26 11:03:00,-73.97609699999998,40.76579
2838718,2838718,2014-01-26 02:59:00,-73.989367,40.72305
9252848,9252848,2014-01-11 17:35:00,-73.986182,40.762267
8307659,8307659,2014-01-08 19:49:00,0.0,0.0
8351022,8351022,2014-01-09 05:40:00,-73.955295,40.776975
